dataset_id,dataset,comparator_id,comparator,mean_unseen_macro_f1_delta,primary_unit
basicmotions_uea,BasicMotions,v3_10,NyquistGuard-TSC v3.10,0.340108106,dataset (three-seed mean)
epilepsy_uea,Epilepsy,v3_10,NyquistGuard-TSC v3.10,0.208277383,dataset (three-seed mean)
pamap2_uci,PAMAP2,v3_10,NyquistGuard-TSC v3.10,-0.298770701,dataset (three-seed mean)
mhealth_uci,MHEALTH,v3_10,NyquistGuard-TSC v3.10,0.228481930,dataset (three-seed mean)
hapt_uci,HAPT,v3_10,NyquistGuard-TSC v3.10,0.098274542,dataset (three-seed mean)
daily_sports_uci,DailySports,v3_10,NyquistGuard-TSC v3.10,0.103270644,dataset (three-seed mean)
hydraulic_uci,Hydraulic,v3_10,NyquistGuard-TSC v3.10,0.855001977,dataset (three-seed mean)
sleep_edfx_physionet,Sleep-EDF,v3_10,NyquistGuard-TSC v3.10,-0.011989922,dataset (three-seed mean)
eegmmi_physionet,EEGMMI,v3_10,NyquistGuard-TSC v3.10,0.382137944,dataset (three-seed mean)
mitbih_arrhythmia_physionet,MIT-BIH,v3_10,NyquistGuard-TSC v3.10,0.008396576,dataset (three-seed mean)
basicmotions_uea,BasicMotions,v1_nyquistguard,NyquistGuard v1,0.386474402,dataset (three-seed mean)
epilepsy_uea,Epilepsy,v1_nyquistguard,NyquistGuard v1,0.247448907,dataset (three-seed mean)
pamap2_uci,PAMAP2,v1_nyquistguard,NyquistGuard v1,-0.208616967,dataset (three-seed mean)
mhealth_uci,MHEALTH,v1_nyquistguard,NyquistGuard v1,0.260708549,dataset (three-seed mean)
hapt_uci,HAPT,v1_nyquistguard,NyquistGuard v1,0.114432207,dataset (three-seed mean)
daily_sports_uci,DailySports,v1_nyquistguard,NyquistGuard v1,0.208969753,dataset (three-seed mean)
hydraulic_uci,Hydraulic,v1_nyquistguard,NyquistGuard v1,0.846621037,dataset (three-seed mean)
sleep_edfx_physionet,Sleep-EDF,v1_nyquistguard,NyquistGuard v1,0.152734925,dataset (three-seed mean)
eegmmi_physionet,EEGMMI,v1_nyquistguard,NyquistGuard v1,0.407543210,dataset (three-seed mean)
mitbih_arrhythmia_physionet,MIT-BIH,v1_nyquistguard,NyquistGuard v1,0.003946926,dataset (three-seed mean)
basicmotions_uea,BasicMotions,fixed_rate_tcn,Fixed-rate TCN,0.399986511,dataset (three-seed mean)
epilepsy_uea,Epilepsy,fixed_rate_tcn,Fixed-rate TCN,-0.027616585,dataset (three-seed mean)
pamap2_uci,PAMAP2,fixed_rate_tcn,Fixed-rate TCN,0.040254717,dataset (three-seed mean)
mhealth_uci,MHEALTH,fixed_rate_tcn,Fixed-rate TCN,0.058908590,dataset (three-seed mean)
hapt_uci,HAPT,fixed_rate_tcn,Fixed-rate TCN,0.065533440,dataset (three-seed mean)
daily_sports_uci,DailySports,fixed_rate_tcn,Fixed-rate TCN,0.069465337,dataset (three-seed mean)
hydraulic_uci,Hydraulic,fixed_rate_tcn,Fixed-rate TCN,0.880349136,dataset (three-seed mean)
sleep_edfx_physionet,Sleep-EDF,fixed_rate_tcn,Fixed-rate TCN,0.212248635,dataset (three-seed mean)
eegmmi_physionet,EEGMMI,fixed_rate_tcn,Fixed-rate TCN,0.086548298,dataset (three-seed mean)
mitbih_arrhythmia_physionet,MIT-BIH,fixed_rate_tcn,Fixed-rate TCN,0.073172897,dataset (three-seed mean)
basicmotions_uea,BasicMotions,multirate_tcn,Multirate TCN,0.373187300,dataset (three-seed mean)
epilepsy_uea,Epilepsy,multirate_tcn,Multirate TCN,-0.085629449,dataset (three-seed mean)
pamap2_uci,PAMAP2,multirate_tcn,Multirate TCN,0.041444320,dataset (three-seed mean)
mhealth_uci,MHEALTH,multirate_tcn,Multirate TCN,-0.000062625,dataset (three-seed mean)
hapt_uci,HAPT,multirate_tcn,Multirate TCN,0.020483787,dataset (three-seed mean)
daily_sports_uci,DailySports,multirate_tcn,Multirate TCN,0.071187414,dataset (three-seed mean)
hydraulic_uci,Hydraulic,multirate_tcn,Multirate TCN,0.882266610,dataset (three-seed mean)
sleep_edfx_physionet,Sleep-EDF,multirate_tcn,Multirate TCN,0.111539753,dataset (three-seed mean)
eegmmi_physionet,EEGMMI,multirate_tcn,Multirate TCN,0.035276287,dataset (three-seed mean)
mitbih_arrhythmia_physionet,MIT-BIH,multirate_tcn,Multirate TCN,0.055981622,dataset (three-seed mean)
basicmotions_uea,BasicMotions,minirocket,"MiniROCKET (10,000 kernels)",0.062011504,dataset (three-seed mean)
epilepsy_uea,Epilepsy,minirocket,"MiniROCKET (10,000 kernels)",-0.069869112,dataset (three-seed mean)
pamap2_uci,PAMAP2,minirocket,"MiniROCKET (10,000 kernels)",-0.225673150,dataset (three-seed mean)
mhealth_uci,MHEALTH,minirocket,"MiniROCKET (10,000 kernels)",-0.019640429,dataset (three-seed mean)
hapt_uci,HAPT,minirocket,"MiniROCKET (10,000 kernels)",-0.047343688,dataset (three-seed mean)
daily_sports_uci,DailySports,minirocket,"MiniROCKET (10,000 kernels)",-0.039368010,dataset (three-seed mean)
hydraulic_uci,Hydraulic,minirocket,"MiniROCKET (10,000 kernels)",0.686363648,dataset (three-seed mean)
sleep_edfx_physionet,Sleep-EDF,minirocket,"MiniROCKET (10,000 kernels)",0.087155577,dataset (three-seed mean)
eegmmi_physionet,EEGMMI,minirocket,"MiniROCKET (10,000 kernels)",0.040767134,dataset (three-seed mean)
mitbih_arrhythmia_physionet,MIT-BIH,minirocket,"MiniROCKET (10,000 kernels)",-0.038199834,dataset (three-seed mean)
basicmotions_uea,BasicMotions,multirocket,"MultiROCKET (1,000 kernels)",0.251832463,dataset (three-seed mean)
epilepsy_uea,Epilepsy,multirocket,"MultiROCKET (1,000 kernels)",0.108823355,dataset (three-seed mean)
pamap2_uci,PAMAP2,multirocket,"MultiROCKET (1,000 kernels)",-0.261328473,dataset (three-seed mean)
mhealth_uci,MHEALTH,multirocket,"MultiROCKET (1,000 kernels)",0.234284133,dataset (three-seed mean)
hapt_uci,HAPT,multirocket,"MultiROCKET (1,000 kernels)",0.006235412,dataset (three-seed mean)
daily_sports_uci,DailySports,multirocket,"MultiROCKET (1,000 kernels)",-0.014600991,dataset (three-seed mean)
hydraulic_uci,Hydraulic,multirocket,"MultiROCKET (1,000 kernels)",0.741350358,dataset (three-seed mean)
sleep_edfx_physionet,Sleep-EDF,multirocket,"MultiROCKET (1,000 kernels)",0.289855479,dataset (three-seed mean)
eegmmi_physionet,EEGMMI,multirocket,"MultiROCKET (1,000 kernels)",0.088652014,dataset (three-seed mean)
mitbih_arrhythmia_physionet,MIT-BIH,multirocket,"MultiROCKET (1,000 kernels)",-0.052179393,dataset (three-seed mean)
basicmotions_uea,BasicMotions,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.272473876,dataset (three-seed mean)
epilepsy_uea,Epilepsy,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.152570445,dataset (three-seed mean)
pamap2_uci,PAMAP2,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,-0.308733946,dataset (three-seed mean)
mhealth_uci,MHEALTH,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.155944553,dataset (three-seed mean)
hapt_uci,HAPT,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.038963729,dataset (three-seed mean)
daily_sports_uci,DailySports,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.083176964,dataset (three-seed mean)
hydraulic_uci,Hydraulic,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.803995075,dataset (three-seed mean)
sleep_edfx_physionet,Sleep-EDF,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,-0.027802314,dataset (three-seed mean)
eegmmi_physionet,EEGMMI,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.363380652,dataset (three-seed mean)
mitbih_arrhythmia_physionet,MIT-BIH,v3_10_no_nyquist_gate,v3.10 without Nyquist gate,0.008296640,dataset (three-seed mean)
